rank1,rank2,rank3,rank4,rank5,count
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,Adrienne E. Adams,2
Scott M. Stringer,Jessica Ramos,Michael Blake,Whitney R. Tilson,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Candidate Write-in,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,2
Adrienne E. Adams,Brad Lander,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,2
Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,,2
Michael Blake,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,Scott M. Stringer,Michael Blake,2
Zohran Kwame Mamdani,Candidate Write-in,Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,2
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Michael Blake,Candidate Write-in,2
Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Selma K. Bartholomew,Brad Lander,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Selma K. Bartholomew,2
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,2
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,Scott M. Stringer,2
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,2
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Paperboy Love Prince,Candidate Write-in,2
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,2
Jessica Ramos,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,2
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Paperboy Love Prince,Andrew M. Cuomo,2
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,Paperboy Love Prince,2
Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Brad Lander,2
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,2
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Candidate Write-in,Jessica Ramos,2
Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Selma K. Bartholomew,Jessica Ramos,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Paperboy Love Prince,Zellnor Myrie,2
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,2
Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,Brad Lander,2
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Brad Lander,Candidate Write-in,2
Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,Paperboy Love Prince,Brad Lander,2
Brad Lander,Andrew M. Cuomo,,,,2
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Michael Blake,2
Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Selma K. Bartholomew,Candidate Write-in,2
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Selma K. Bartholomew,2
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Michael Blake,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Whitney R. Tilson,Adrienne E. Adams,2
Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Selma K. Bartholomew,,2
Selma K. Bartholomew,Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Scott M. Stringer,Jessica Ramos,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,,2
Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Brad Lander,2
Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Zohran Kwame Mamdani,Scott M. Stringer,2
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Brad Lander,Zellnor Myrie,2
Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,,2
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,2
Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,Michael Blake,2
Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Jessica Ramos,Adrienne E. Adams,2
Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,2
Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,2
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Michael Blake,Zellnor Myrie,2
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Zohran Kwame Mamdani,2
Adrienne E. Adams,Zellnor Myrie,Michael Blake,Jessica Ramos,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Brad Lander,Andrew M. Cuomo,2
Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,2
Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,2
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Michael Blake,,2
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Candidate Write-in,2
Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,2
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Paperboy Love Prince,Michael Blake,2
Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,2
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,2
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,2
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Jessica Ramos,2
Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Brad Lander,,2
Jessica Ramos,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,2
Zellnor Myrie,Brad Lander,Scott M. Stringer,Michael Blake,Adrienne E. Adams,2
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Adrienne E. Adams,2
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Michael Blake,2
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Whitney R. Tilson,Candidate Write-in,2
Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,2
Adrienne E. Adams,Jessica Ramos,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,2
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Brad Lander,2
Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,2
Paperboy Love Prince,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,2
Adrienne E. Adams,Zellnor Myrie,Brad Lander,Michael Blake,Jessica Ramos,2
Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Michael Blake,,2
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Michael Blake,2
Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Michael Blake,2
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,,2
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,2
Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,2
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,2
Adrienne E. Adams,Jessica Ramos,Brad Lander,Scott M. Stringer,Paperboy Love Prince,2
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,,2
Whitney R. Tilson,Jessica Ramos,Scott M. Stringer,,,2
Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Brad Lander,2
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,2
Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Jessica Ramos,Zohran Kwame Mamdani,2
Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,Jessica Ramos,,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Brad Lander,2
Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Selma K. Bartholomew,Zohran Kwame Mamdani,2
Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Paperboy Love Prince,2
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Candidate Write-in,2
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Michael Blake,2
Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Paperboy Love Prince,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,,2
Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Jessica Ramos,Scott M. Stringer,2
Michael Blake,Adrienne E. Adams,Jessica Ramos,,,2
Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,,,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Brad Lander,Whitney R. Tilson,2
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,,2
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,2
Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,2
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Candidate Write-in,Whitney R. Tilson,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,,2
Zellnor Myrie,Michael Blake,Brad Lander,Zohran Kwame Mamdani,,2
Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,2
Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,,2
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,2
Zellnor Myrie,Jessica Ramos,Brad Lander,Adrienne E. Adams,Scott M. Stringer,2
Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,2
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Paperboy Love Prince,2
Whitney R. Tilson,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Jessica Ramos,2
Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Candidate Write-in,Adrienne E. Adams,2
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Selma K. Bartholomew,,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Zellnor Myrie,Candidate Write-in,2
Candidate Write-in,Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,2
Adrienne E. Adams,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Paperboy Love Prince,2
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Whitney R. Tilson,2
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Andrew M. Cuomo,Scott M. Stringer,2
Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,2
Adrienne E. Adams,Scott M. Stringer,Brad Lander,Paperboy Love Prince,Jessica Ramos,2
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,Candidate Write-in,2
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,2
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,2
Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,2
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,Paperboy Love Prince,2
Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Candidate Write-in,,2
Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,2
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,2
Michael Blake,Zellnor Myrie,Scott M. Stringer,,,2
Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,2
Whitney R. Tilson,Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,Brad Lander,Michael Blake,2
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,,2
Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,,2
Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,,,2
Michael Blake,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Whitney R. Tilson,2
Michael Blake,Whitney R. Tilson,Adrienne E. Adams,Brad Lander,Scott M. Stringer,2
Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Brad Lander,Scott M. Stringer,2
Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,,2
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,2
Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,Brad Lander,2
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,,2
Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,2
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Candidate Write-in,Zohran Kwame Mamdani,2
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Michael Blake,2
Brad Lander,Paperboy Love Prince,Candidate Write-in,,,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Michael Blake,Paperboy Love Prince,2
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Jessica Ramos,Michael Blake,2
Adrienne E. Adams,Michael Blake,Paperboy Love Prince,Scott M. Stringer,Candidate Write-in,2
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,Zohran Kwame Mamdani,2
Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Adrienne E. Adams,,2
Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,2
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,2
Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Brad Lander,2
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Candidate Write-in,,2
Zellnor Myrie,Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,2
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,,2
Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,2
Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Michael Blake,Brad Lander,2
Paperboy Love Prince,Brad Lander,Michael Blake,Whitney R. Tilson,,2
Scott M. Stringer,Whitney R. Tilson,Michael Blake,Brad Lander,Jessica Ramos,2
Brad Lander,Paperboy Love Prince,Scott M. Stringer,Zohran Kwame Mamdani,,2
Jessica Ramos,Brad Lander,Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Scott M. Stringer,Jessica Ramos,2
Zohran Kwame Mamdani,Whitney R. Tilson,Paperboy Love Prince,Adrienne E. Adams,Selma K. Bartholomew,2
Andrew M. Cuomo,Paperboy Love Prince,Brad Lander,Michael Blake,,2
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,,,2
Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,Brad Lander,2
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,2
Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,2
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,,2
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,Candidate Write-in,2
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Paperboy Love Prince,2
Brad Lander,Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,,2
Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Whitney R. Tilson,Jessica Ramos,2
Scott M. Stringer,Brad Lander,Michael Blake,Jessica Ramos,,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,,2
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,2
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Candidate Write-in,,2
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,2
Scott M. Stringer,Jessica Ramos,Brad Lander,Adrienne E. Adams,,2
Andrew M. Cuomo,Michael Blake,Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Scott M. Stringer,,2
Adrienne E. Adams,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,2
Adrienne E. Adams,Candidate Write-in,,,,2
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,,2
Adrienne E. Adams,Michael Blake,Zellnor Myrie,Selma K. Bartholomew,Whitney R. Tilson,2
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Michael Blake,2
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,,2
Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,Michael Blake,2
Scott M. Stringer,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Whitney R. Tilson,2
Brad Lander,Jessica Ramos,Michael Blake,Scott M. Stringer,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Scott M. Stringer,Candidate Write-in,Jessica Ramos,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Brad Lander,Candidate Write-in,Michael Blake,,2
Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,,,2
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,2
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,2
Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,,,2
Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,2
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,2
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Candidate Write-in,2
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,2
Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,Zellnor Myrie,2
Candidate Write-in,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,,2
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Candidate Write-in,Jessica Ramos,2
Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Michael Blake,Selma K. Bartholomew,2
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,,2
Zellnor Myrie,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,,2
Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,2
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,2
Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,2
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Candidate Write-in,2
Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Paperboy Love Prince,Brad Lander,2
Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Zohran Kwame Mamdani,2
Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,2
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Candidate Write-in,,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Michael Blake,Jessica Ramos,2
Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Whitney R. Tilson,Michael Blake,2
Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Adrienne E. Adams,Whitney R. Tilson,2
Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Jessica Ramos,2
Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,Andrew M. Cuomo,Jessica Ramos,2
Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,Paperboy Love Prince,2
Jessica Ramos,Selma K. Bartholomew,Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,2
Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Paperboy Love Prince,Candidate Write-in,2
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Brad Lander,2
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,2
Adrienne E. Adams,Brad Lander,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,2
Andrew M. Cuomo,Whitney R. Tilson,Candidate Write-in,,,2
Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,2
Zohran Kwame Mamdani,Paperboy Love Prince,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,2
Brad Lander,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,,2
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Candidate Write-in,2
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Michael Blake,2
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Jessica Ramos,2
Brad Lander,Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,2
Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,2
Andrew M. Cuomo,Michael Blake,Paperboy Love Prince,Adrienne E. Adams,Brad Lander,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Michael Blake,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,,2
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,Scott M. Stringer,2
Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,Scott M. Stringer,2
Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,Adrienne E. Adams,Jessica Ramos,2
Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,2
Scott M. Stringer,Paperboy Love Prince,Andrew M. Cuomo,,,2
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,2
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,2
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,,2
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,,2
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,Whitney R. Tilson,2
Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Scott M. Stringer,Andrew M. Cuomo,2
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Brad Lander,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,,2
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,Brad Lander,2
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,2
Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,2
Andrew M. Cuomo,Paperboy Love Prince,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,2
