rank1,rank2,rank3,rank4,rank5,count
Adrienne E. Adams,Zellnor Myrie,,,,231
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Brad Lander,,230
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Scott M. Stringer,229
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,229
Scott M. Stringer,Adrienne E. Adams,Jumaane D. Williams,,,229
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,228
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,228
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,,,228
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Michael Blake,Zellnor Myrie,228
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,228
Paperboy Love Prince,,,,,228
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Brad Lander,227
Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,227
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,225
Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,,,225
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Michael Blake,225
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,223
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,,,223
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,,222
Andrew M. Cuomo,Brad Lander,Zellnor Myrie,,,222
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,222
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,222
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,221
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,,221
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,220
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,220
