rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Jumaane D. Williams,4
Paperboy Love Prince,Brad Lander,Marty Dolan,,,4
Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Scott M. Stringer,Jenifer Rajkumar,4
Zellnor Myrie,Michael Blake,Scott M. Stringer,Jumaane D. Williams,,4
Scott M. Stringer,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Jenifer Rajkumar,4
Scott M. Stringer,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,Jenifer Rajkumar,4
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Jenifer Rajkumar,4
Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Jenifer Rajkumar,,4
Scott M. Stringer,Selma K. Bartholomew,Marty Dolan,,,4
Scott M. Stringer,Jessica Ramos,Brad Lander,Adrienne E. Adams,Marty Dolan,4
Brad Lander,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jumaane D. Williams,4
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Jumaane D. Williams,4
Zellnor Myrie,Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Jenifer Rajkumar,4
Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Jumaane D. Williams,4
Brad Lander,Scott M. Stringer,Michael Blake,Jenifer Rajkumar,,4
Scott M. Stringer,Brad Lander,Michael Blake,Zellnor Myrie,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Marty Dolan,4
Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Jumaane D. Williams,4
Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,Jumaane D. Williams,4
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Jenifer Rajkumar,4
Selma K. Bartholomew,Jessica Ramos,Brad Lander,Jumaane D. Williams,,4
Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Jumaane D. Williams,4
Scott M. Stringer,Michael Blake,Brad Lander,Paperboy Love Prince,Marty Dolan,4
Brad Lander,Michael Blake,Paperboy Love Prince,Zellnor Myrie,Jenifer Rajkumar,4
Scott M. Stringer,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Jenifer Rajkumar,4
Brad Lander,Paperboy Love Prince,Zellnor Myrie,Adrienne E. Adams,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Scott M. Stringer,Jenifer Rajkumar,4
Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Jumaane D. Williams,4
Scott M. Stringer,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,Jumaane D. Williams,4
Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Jenifer Rajkumar,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Jenifer Rajkumar,4
Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Jumaane D. Williams,,4
Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Adrienne E. Adams,Jenifer Rajkumar,4
Zellnor Myrie,Brad Lander,Jessica Ramos,Paperboy Love Prince,Jumaane D. Williams,4
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Jumaane D. Williams,4
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Jumaane D. Williams,,4
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,Jumaane D. Williams,4
Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,Jumaane D. Williams,,4
Scott M. Stringer,Michael Blake,Jessica Ramos,Adrienne E. Adams,Jumaane D. Williams,4
Zellnor Myrie,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Jenifer Rajkumar,4
Scott M. Stringer,Zellnor Myrie,Marty Dolan,,,4
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,Jenifer Rajkumar,4
Jessica Ramos,Whitney R. Tilson,Michael Blake,Selma K. Bartholomew,Jenifer Rajkumar,4
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,Jumaane D. Williams,4
Brad Lander,Scott M. Stringer,Paperboy Love Prince,Michael Blake,Jenifer Rajkumar,4
Adrienne E. Adams,Michael Blake,Zellnor Myrie,Scott M. Stringer,Jenifer Rajkumar,4
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Jenifer Rajkumar,4
Jessica Ramos,Adrienne E. Adams,Brad Lander,Michael Blake,Jenifer Rajkumar,4
Brad Lander,Brad Lander,Brad Lander,Brad Lander,Marty Dolan,4
Brad Lander,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Marty Dolan,4
Jessica Ramos,Michael Blake,Selma K. Bartholomew,Scott M. Stringer,Jumaane D. Williams,4
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Marty Dolan,,4
Paperboy Love Prince,Whitney R. Tilson,Jenifer Rajkumar,,,4
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Jenifer Rajkumar,4
Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Jenifer Rajkumar,4
Michael Blake,Jessica Ramos,Brad Lander,Adrienne E. Adams,Jumaane D. Williams,4
Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Jenifer Rajkumar,4
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Scott M. Stringer,Jenifer Rajkumar,4
Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Jenifer Rajkumar,4
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Jenifer Rajkumar,4
Andrew M. Cuomo,Andrew M. Cuomo,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Michael Blake,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Jumaane D. Williams,4
Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Jumaane D. Williams,,4
Adrienne E. Adams,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Marty Dolan,4
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Paperboy Love Prince,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Selma K. Bartholomew,Jenifer Rajkumar,4
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Jumaane D. Williams,4
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,4
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jumaane D. Williams,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Paperboy Love Prince,Marty Dolan,4
Scott M. Stringer,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,4
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Whitney R. Tilson,Jenifer Rajkumar,4
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Jessica Ramos,Jenifer Rajkumar,4
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Marty Dolan,4
Brad Lander,Michael Blake,Selma K. Bartholomew,Adrienne E. Adams,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Jessica Ramos,Whitney R. Tilson,Marty Dolan,4
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Andrew M. Cuomo,Jumaane D. Williams,4
Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Jumaane D. Williams,,4
Brad Lander,Scott M. Stringer,Paperboy Love Prince,Selma K. Bartholomew,Jumaane D. Williams,4
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,Jenifer Rajkumar,4
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Michael Blake,Jenifer Rajkumar,4
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Jenifer Rajkumar,,4
Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Jumaane D. Williams,,4
Michael Blake,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Jumaane D. Williams,,4
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Jenifer Rajkumar,4
Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Jumaane D. Williams,4
Brad Lander,Zellnor Myrie,Selma K. Bartholomew,Scott M. Stringer,Jumaane D. Williams,4
Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Paperboy Love Prince,Jumaane D. Williams,4
Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,Marty Dolan,4
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Brad Lander,Jumaane D. Williams,4
Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Adrienne E. Adams,Jumaane D. Williams,4
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Marty Dolan,4
Michael Blake,Brad Lander,Paperboy Love Prince,Adrienne E. Adams,Jumaane D. Williams,4
Zellnor Myrie,Brad Lander,Paperboy Love Prince,Jumaane D. Williams,,4
Jessica Ramos,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Jumaane D. Williams,4
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Selma K. Bartholomew,Zohran Kwame Mamdani,Jenifer Rajkumar,,,4
Brad Lander,Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Jumaane D. Williams,4
Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Jumaane D. Williams,4
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Marty Dolan,4
Jessica Ramos,Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Jenifer Rajkumar,4
Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,Scott M. Stringer,Jumaane D. Williams,4
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Brad Lander,Jumaane D. Williams,4
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Marty Dolan,,4
Brad Lander,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Jenifer Rajkumar,4
Paperboy Love Prince,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Michael Blake,Marty Dolan,4
Andrew M. Cuomo,Brad Lander,Jessica Ramos,Marty Dolan,,4
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Marty Dolan,4
Brad Lander,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,Marty Dolan,4
Michael Blake,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Michael Blake,Andrew M. Cuomo,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Michael Blake,Marty Dolan,4
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Jenifer Rajkumar,4
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Jumaane D. Williams,4
Michael Blake,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,,4
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Michael Blake,Jumaane D. Williams,4
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Jumaane D. Williams,4
Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Jumaane D. Williams,4
Selma K. Bartholomew,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Jumaane D. Williams,4
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Jenifer Rajkumar,4
Jessica Ramos,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Marty Dolan,4
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Jenifer Rajkumar,4
Adrienne E. Adams,Jessica Ramos,Brad Lander,Whitney R. Tilson,Jenifer Rajkumar,4
Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,Jumaane D. Williams,4
Jessica Ramos,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Jumaane D. Williams,4
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,4
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Brad Lander,Marty Dolan,4
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Jumaane D. Williams,4
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Jumaane D. Williams,4
Brad Lander,Selma K. Bartholomew,Paperboy Love Prince,Jessica Ramos,Jumaane D. Williams,4
Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,Jumaane D. Williams,4
Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Michael Blake,Whitney R. Tilson,Brad Lander,Jumaane D. Williams,4
Michael Blake,Paperboy Love Prince,Marty Dolan,,,4
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,Marty Dolan,4
Scott M. Stringer,Brad Lander,Zellnor Myrie,Whitney R. Tilson,Jenifer Rajkumar,4
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Brad Lander,Jenifer Rajkumar,4
Michael Blake,Zellnor Myrie,Adrienne E. Adams,Andrew M. Cuomo,Jumaane D. Williams,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Jumaane D. Williams,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Jenifer Rajkumar,4
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Jumaane D. Williams,4
Brad Lander,Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,Jenifer Rajkumar,4
Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Zohran Kwame Mamdani,Jumaane D. Williams,4
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Paperboy Love Prince,Marty Dolan,4
Jessica Ramos,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Jenifer Rajkumar,4
Michael Blake,Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Michael Blake,Scott M. Stringer,Whitney R. Tilson,Jumaane D. Williams,4
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Marty Dolan,,4
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Jenifer Rajkumar,4
Brad Lander,Zellnor Myrie,Michael Blake,Selma K. Bartholomew,Jenifer Rajkumar,4
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zohran Kwame Mamdani,Jumaane D. Williams,4
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Michael Blake,Jumaane D. Williams,4
Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Jumaane D. Williams,4
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Michael Blake,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,Marty Dolan,4
Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Jumaane D. Williams,4
Jessica Ramos,Zellnor Myrie,Michael Blake,Andrew M. Cuomo,Jumaane D. Williams,4
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,Jumaane D. Williams,4
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Jumaane D. Williams,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Jumaane D. Williams,4
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jenifer Rajkumar,,4
Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Michael Blake,Jumaane D. Williams,4
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Jumaane D. Williams,,4
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Jenifer Rajkumar,4
Adrienne E. Adams,Michael Blake,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Whitney R. Tilson,Jenifer Rajkumar,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Jumaane D. Williams,,4
Brad Lander,Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,Jumaane D. Williams,4
Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Jumaane D. Williams,4
Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Brad Lander,Marty Dolan,4
Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Brad Lander,Jenifer Rajkumar,,4
Scott M. Stringer,Brad Lander,Zellnor Myrie,Jenifer Rajkumar,,4
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,,4
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Jenifer Rajkumar,,4
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Jumaane D. Williams,,4
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Jenifer Rajkumar,,4
Scott M. Stringer,Brad Lander,Jessica Ramos,Andrew M. Cuomo,Jumaane D. Williams,4
Michael Blake,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Jumaane D. Williams,4
Michael Blake,Brad Lander,Selma K. Bartholomew,Paperboy Love Prince,Jumaane D. Williams,4
Jessica Ramos,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Jumaane D. Williams,4
Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,Jenifer Rajkumar,4
Jessica Ramos,Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,,4
Michael Blake,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,Jumaane D. Williams,4
Scott M. Stringer,Michael Blake,Brad Lander,Jessica Ramos,Jenifer Rajkumar,4
Brad Lander,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,Jenifer Rajkumar,4
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Jumaane D. Williams,4
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,4
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Jenifer Rajkumar,4
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Jenifer Rajkumar,4
Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Michael Blake,Jumaane D. Williams,4
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Jenifer Rajkumar,,4
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Jumaane D. Williams,4
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Jenifer Rajkumar,4
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Brad Lander,Michael Blake,Andrew M. Cuomo,Adrienne E. Adams,Jumaane D. Williams,4
Paperboy Love Prince,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Jumaane D. Williams,4
Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Michael Blake,Jenifer Rajkumar,4
Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,Michael Blake,Jenifer Rajkumar,4
Brad Lander,Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Marty Dolan,4
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Marty Dolan,,4
Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Jumaane D. Williams,4
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Adrienne E. Adams,Jessica Ramos,Brad Lander,Zellnor Myrie,Marty Dolan,4
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Andrew M. Cuomo,Andrew M. Cuomo,Jumaane D. Williams,4
Michael Blake,Zellnor Myrie,Adrienne E. Adams,Selma K. Bartholomew,Jumaane D. Williams,4
Scott M. Stringer,Michael Blake,Brad Lander,Selma K. Bartholomew,Jumaane D. Williams,4
Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Jessica Ramos,Jumaane D. Williams,4
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Paperboy Love Prince,Jumaane D. Williams,4
Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Jenifer Rajkumar,,4
Zellnor Myrie,Michael Blake,Brad Lander,Andrew M. Cuomo,Jumaane D. Williams,4
Michael Blake,Scott M. Stringer,Brad Lander,Jumaane D. Williams,,4
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jenifer Rajkumar,,,4
Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,Andrew M. Cuomo,Jumaane D. Williams,4
Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Jenifer Rajkumar,4
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Marty Dolan,,4
Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,Whitney R. Tilson,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Brad Lander,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Jenifer Rajkumar,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Jumaane D. Williams,4
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Brad Lander,Jumaane D. Williams,4
Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Jumaane D. Williams,4
Adrienne E. Adams,Michael Blake,Jessica Ramos,Andrew M. Cuomo,Jumaane D. Williams,4
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Jenifer Rajkumar,4
Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Paperboy Love Prince,Jumaane D. Williams,4
Brad Lander,Michael Blake,Whitney R. Tilson,Adrienne E. Adams,Marty Dolan,4
Selma K. Bartholomew,Brad Lander,Jessica Ramos,Zellnor Myrie,Jumaane D. Williams,4
Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Marty Dolan,4
Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Brad Lander,Jessica Ramos,Scott M. Stringer,Marty Dolan,4
Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Jumaane D. Williams,4
Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Jumaane D. Williams,4
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Jenifer Rajkumar,4
Brad Lander,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,Jenifer Rajkumar,4
Jessica Ramos,Brad Lander,Zellnor Myrie,Scott M. Stringer,Jenifer Rajkumar,4
Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,Brad Lander,Jumaane D. Williams,4
Zellnor Myrie,Brad Lander,Michael Blake,Paperboy Love Prince,Jumaane D. Williams,4
Selma K. Bartholomew,Brad Lander,Zellnor Myrie,Jumaane D. Williams,,4
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jumaane D. Williams,,,4
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Scott M. Stringer,Jumaane D. Williams,4
Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Jumaane D. Williams,4
Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Jumaane D. Williams,4
Brad Lander,Jessica Ramos,Paperboy Love Prince,Adrienne E. Adams,Jumaane D. Williams,4
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,Marty Dolan,4
Jessica Ramos,Michael Blake,Brad Lander,Paperboy Love Prince,Jumaane D. Williams,4
Zellnor Myrie,Jessica Ramos,Jenifer Rajkumar,,,4
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Marty Dolan,,4
Jessica Ramos,Brad Lander,Scott M. Stringer,Whitney R. Tilson,Jumaane D. Williams,4
Paperboy Love Prince,Brad Lander,Adrienne E. Adams,Jumaane D. Williams,,4
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Selma K. Bartholomew,Marty Dolan,4
Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Andrew M. Cuomo,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Michael Blake,Jumaane D. Williams,4
Whitney R. Tilson,Jessica Ramos,Jumaane D. Williams,,,4
Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Jumaane D. Williams,,4
